community_code,crime_count,is_iqr_outlier
1.0,26,False
2.0,22,False
3.0,29,False
4.0,26,False
5.0,25,False
6.0,23,False
7.0,21,False
8.0,18,False
9.0,25,False
10.0,28,False
11.0,31,False
12.0,27,False
13.0,25,False
14.0,25,False
15.0,12,False
16.0,31,False
17.0,29,False
18.0,26,False
19.0,15,False
20.0,18,False
21.0,32,False
22.0,27,False
23.0,27,False
24.0,29,False
25.0,26,False
26.0,22,False
27.0,19,False
28.0,26,False
29.0,22,False
30.0,22,False
31.0,38,False
32.0,32,False
33.0,22,False
34.0,27,False
35.0,27,False
36.0,32,False
37.0,19,False
38.0,23,False
39.0,25,False
40.0,24,False
41.0,30,False
42.0,26,False
43.0,22,False
44.0,32,False
45.0,28,False
46.0,25,False
47.0,21,False
48.0,23,False
49.0,33,False
50.0,32,False
51.0,25,False
52.0,26,False
53.0,27,False
54.0,14,False
55.0,35,False
56.0,40,True
57.0,31,False
58.0,30,False
59.0,18,False
60.0,17,False
61.0,26,False
62.0,23,False
63.0,30,False
64.0,25,False
65.0,16,False
66.0,20,False
67.0,26,False
68.0,28,False
69.0,28,False
70.0,33,False
71.0,20,False
72.0,27,False
73.0,24,False
74.0,27,False
75.0,20,False
76.0,23,False
77.0,30,False
